counts,start,reverse,frame,library,read,write,state,current,delay,port,queued
0,0,0,0,0,0,0,0,0,0,255,0
0,0,0,0,1,0,0,0,0,0,255,0
0,0,0,0,2,0,0,0,0,0,255,0
0,0,0,1,0,0,0,0,0,0,255,0
0,0,0,1,1,0,0,0,0,0,255,0
0,0,0,1,2,0,0,0,0,0,255,0
0,0,0,2,0,0,0,0,0,0,255,0
0,0,0,2,1,0,0,0,0,0,255,0
0,0,0,2,2,0,0,0,0,0,255,0
0,0,0,3,0,0,0,0,0,0,255,0
0,0,0,3,1,0,0,0,0,0,255,0
0,0,0,3,2,0,0,0,0,0,255,0
0,0,0,4,0,0,0,0,0,0,255,0
0,0,0,4,1,0,0,0,0,0,255,0
0,0,0,4,2,0,0,0,0,0,255,0
0,0,0,5,0,0,0,0,0,0,255,0
0,0,0,5,1,0,0,0,0,0,255,0
0,0,0,5,2,0,0,0,0,0,255,0
0,0,0,6,0,0,0,0,0,0,255,0
0,0,0,6,1,0,0,0,0,0,255,0
0,0,0,6,2,0,0,0,0,0,255,0
0,0,0,7,0,0,0,0,0,0,255,0
0,0,0,7,1,0,0,0,0,0,255,0
0,0,0,7,2,0,0,0,0,0,255,0
0,0,0,8,0,0,0,0,0,0,255,0
0,0,0,8,1,0,0,0,0,0,255,0
0,0,0,8,2,0,0,0,0,0,255,0
0,0,0,9,0,0,0,0,0,0,255,0
0,0,0,9,1,0,0,0,0,0,255,0
0,0,0,9,2,0,0,0,0,0,255,0
0,0,0,10,0,0,0,0,0,0,255,0
0,0,0,10,1,0,0,0,0,0,255,0
0,0,0,10,2,0,0,0,0,0,255,0
0,0,0,11,0,0,0,0,0,0,255,0
0,0,0,11,1,0,0,0,0,0,255,0
0,0,0,11,2,0,0,0,0,0,255,0
0,0,0,12,0,0,0,0,0,0,255,0
0,0,0,12,1,0,0,0,0,0,255,0
0,0,0,12,2,0,0,0,0,0,255,0
0,0,0,13,0,0,0,0,0,0,255,0
0,0,0,13,1,0,0,0,0,0,255,0
0,0,0,13,2,0,0,0,0,0,255,0
0,0,0,14,0,0,0,0,0,0,255,0
0,0,0,14,1,0,0,0,0,0,255,0
0,0,0,14,2,0,0,0,0,0,255,0
0,0,0,15,0,0,0,0,0,0,255,0
0,0,0,15,1,0,0,0,0,0,255,0
0,0,0,15,2,0,0,0,0,0,255,0
0,0,0,16,0,0,0,0,0,0,255,0
0,0,0,16,1,0,0,0,0,0,255,0
0,0,0,16,2,0,0,0,0,0,255,0
0,0,0,17,0,0,0,0,0,0,255,0
0,0,0,17,1,0,0,0,0,0,255,0
0,0,0,17,2,0,0,0,0,0,255,0
0,0,0,18,0,0,0,0,0,0,255,0
0,0,0,18,1,0,0,0,0,0,255,0
0,0,0,18,2,0,0,0,0,0,255,0
0,0,0,19,0,0,0,0,0,0,255,0
0,0,0,19,1,0,0,0,0,0,255,0
0,0,0,19,2,0,0,0,0,0,255,0
0,0,0,20,0,0,0,0,0,0,255,0
0,0,0,20,1,0,0,0,0,0,255,0
0,0,0,20,2,0,0,0,0,0,255,0
0,0,0,21,0,0,0,0,0,0,255,0
0,0,0,21,1,0,0,0,0,0,255,0
0,0,0,21,2,0,0,0,0,0,255,0
0,0,0,22,0,0,0,0,0,0,255,0
0,0,0,22,1,0,0,0,0,0,255,0
0,0,0,22,2,0,0,0,0,0,255,0
0,0,0,23,0,0,0,0,0,0,255,0
0,0,0,23,1,0,0,0,0,0,255,0
0,0,0,23,2,0,0,0,0,0,255,0
0,0,0,24,0,0,0,0,0,0,255,0
0,0,0,24,1,0,0,0,0,0,255,0
0,0,0,24,2,0,0,0,0,0,255,0
0,0,0,25,0,0,0,0,0,0,255,0
0,0,0,25,1,0,0,0,0,0,255,0
0,0,0,25,2,0,0,0,0,0,255,0
0,0,0,26,0,0,0,0,0,0,255,0
0,0,0,26,1,0,0,0,0,0,255,0
0,0,0,26,2,0,0,0,0,0,255,0
0,0,0,27,0,0,0,0,0,0,255,0
0,0,0,27,1,0,0,0,0,0,255,0
0,0,0,27,2,0,0,0,0,0,255,0
0,0,0,28,0,0,0,0,0,0,255,0
0,0,0,28,1,0,0,0,0,0,255,0
0,0,0,28,2,0,0,0,0,0,255,0
0,0,0,29,0,0,0,0,0,0,255,0
0,0,0,29,1,0,0,0,0,0,255,0
0,0,0,29,2,0,0,0,0,0,255,0
0,0,0,30,0,0,0,0,0,0,255,0
0,0,0,30,1,0,0,0,0,0,255,0
0,0,0,30,2,0,0,0,0,0,255,0
0,0,0,31,0,0,0,0,0,0,255,0
0,0,0,31,1,0,0,0,0,0,255,0
0,0,0,31,2,0,0,0,0,0,255,0
0,0,1,0,0,0,0,0,0,0,255,0
0,0,1,0,1,0,0,0,0,0,255,0
0,0,1,0,2,0,0,0,0,0,255,0
0,0,1,1,0,0,0,0,0,0,255,0
0,0,1,1,1,0,0,0,0,0,255,0
0,0,1,1,2,0,0,0,0,0,255,0
0,0,1,2,0,0,0,0,0,0,255,0
0,0,1,2,1,0,0,0,0,0,255,0
0,0,1,2,2,0,0,0,0,0,255,0
0,0,1,3,0,0,0,0,0,0,255,0
0,0,1,3,1,0,0,0,0,0,255,0
0,0,1,3,2,0,0,0,0,0,255,0
0,0,1,4,0,0,0,0,0,0,255,0
0,0,1,4,1,0,0,0,0,0,255,0
0,0,1,4,2,0,0,0,0,0,255,0
0,0,1,5,0,0,0,0,0,0,255,0
0,0,1,5,1,0,0,0,0,0,255,0
0,0,1,5,2,0,0,0,0,0,255,0
0,0,1,6,0,0,0,0,0,0,255,0
0,0,1,6,1,0,0,0,0,0,255,0
0,0,1,6,2,0,0,0,0,0,255,0
0,0,1,7,0,0,0,0,0,0,255,0
0,0,1,7,1,0,0,0,0,0,255,0
0,0,1,7,2,0,0,0,0,0,255,0
0,0,1,8,0,0,0,0,0,0,255,0
0,0,1,8,1,0,0,0,0,0,255,0
0,0,1,8,2,0,0,0,0,0,255,0
0,0,1,9,0,0,0,0,0,0,255,0
0,0,1,9,1,0,0,0,0,0,255,0
0,0,1,9,2,0,0,0,0,0,255,0
0,0,1,10,0,0,0,0,0,0,255,0
0,0,1,10,1,0,0,0,0,0,255,0
0,0,1,10,2,0,0,0,0,0,255,0
0,0,1,11,0,0,0,0,0,0,255,0
0,0,1,11,1,0,0,0,0,0,255,0
0,0,1,11,2,0,0,0,0,0,255,0
0,0,1,12,0,0,0,0,0,0,255,0
0,0,1,12,1,0,0,0,0,0,255,0
0,0,1,12,2,0,0,0,0,0,255,0
0,0,1,13,0,0,0,0,0,0,255,0
0,0,1,13,1,0,0,0,0,0,255,0
0,0,1,13,2,0,0,0,0,0,255,0
0,0,1,14,0,0,0,0,0,0,255,0
0,0,1,14,1,0,0,0,0,0,255,0
0,0,1,14,2,0,0,0,0,0,255,0
0,0,1,15,0,0,0,0,0,0,255,0
0,0,1,15,1,0,0,0,0,0,255,0
0,0,1,15,2,0,0,0,0,0,255,0
0,0,1,16,0,0,0,0,0,0,255,0
0,0,1,16,1,0,0,0,0,0,255,0
0,0,1,16,2,0,0,0,0,0,255,0
0,0,1,17,0,0,0,0,0,0,255,0
0,0,1,17,1,0,0,0,0,0,255,0
0,0,1,17,2,0,0,0,0,0,255,0
0,0,1,18,0,0,0,0,0,0,255,0
0,0,1,18,1,0,0,0,0,0,255,0
0,0,1,18,2,0,0,0,0,0,255,0
